	mass_A
t	x	y
2.056000e1	1.736253e-2	4.574385e-4
2.060000e1	7.704796e-3	4.202530e-4
2.064000e1	-1.976950e-3	3.983356e-4
2.068000e1	-1.162072e-2	4.397304e-4
2.072000e1	-2.125302e-2	1.316362e-3
2.076000e1	-3.047462e-2	3.001155e-3
2.080000e1	-3.046926e-2	2.975423e-3
2.084000e1	-3.882670e-2	3.933520e-3
2.088000e1	-4.629088e-2	4.827798e-3
2.092000e1	-5.329262e-2	5.714451e-3
2.096000e1	-5.857833e-2	5.767309e-3
2.100000e1	-6.292552e-2	6.609912e-3
2.104000e1	-6.291240e-2	6.621846e-3
2.108000e1	-6.516791e-2	6.653083e-3
2.112000e1	-6.602191e-2	6.661062e-3
2.116000e1	-6.554869e-2	7.009177e-3
2.120000e1	-6.294500e-2	6.988549e-3
2.124000e1	-5.896012e-2	6.217412e-3
2.128000e1	-5.894838e-2	6.228423e-3
2.132000e1	-5.333354e-2	5.303690e-3
2.136000e1	-4.711423e-2	4.441137e-3
2.140000e1	-3.965433e-2	3.546632e-3
2.144000e1	-3.132351e-2	2.655612e-3
2.148000e1	-2.217438e-2	1.733734e-3
2.152000e1	-2.217562e-2	1.723939e-3
2.156000e1	-1.293474e-2	8.509206e-4
2.160000e1	-3.290757e-3	-3.688151e-6
2.164000e1	5.965720e-3	-6.068958e-6
2.168000e1	1.552851e-2	7.864624e-6
2.172000e1	2.436841e-2	8.546506e-4
2.176000e1	2.438631e-2	8.485479e-4
2.180000e1	3.265844e-2	1.020567e-3
2.184000e1	4.010809e-2	9.868226e-4
2.188000e1	4.586984e-2	9.594432e-4
2.192000e1	5.067695e-2	1.755210e-3
2.196000e1	5.415983e-2	1.754703e-3
2.200000e1	5.416794e-2	1.753998e-3
2.204000e1	5.595848e-2	1.789204e-3
2.208000e1	5.724956e-2	2.618277e-3
2.212000e1	5.636246e-2	2.220705e-3
2.216000e1	5.463513e-2	2.170622e-3
2.220000e1	5.115152e-2	2.173421e-3
2.224000e1	5.115632e-2	2.172377e-3
2.228000e1	4.630711e-2	2.183387e-3
2.232000e1	4.017424e-2	1.366970e-3
2.236000e1	3.308950e-2	1.338739e-3
2.240000e1	2.477680e-2	4.629298e-4
2.244000e1	1.598783e-2	4.476672e-4
2.248000e1	1.598638e-2	4.500112e-4
2.252000e1	6.789560e-3	4.194584e-4
2.256000e1	-2.439321e-3	3.987860e-4
2.260000e1	-1.164561e-2	4.089542e-4
2.264000e1	-2.081126e-2	1.324385e-3
2.268000e1	-2.922360e-2	2.228799e-3
2.272000e1	-2.923424e-2	2.242878e-3
2.276000e1	-3.747954e-2	3.151323e-3
2.280000e1	-4.493931e-2	3.976991e-3
2.284000e1	-5.111562e-2	4.846298e-3
2.288000e1	-5.638480e-2	5.698251e-3
2.292000e1	-5.989765e-2	5.751580e-3
2.296000e1	-5.989582e-2	5.770131e-3
2.300000e1	-6.208841e-2	5.750440e-3
2.304000e1	-6.290147e-2	5.779875e-3
2.308000e1	-6.207469e-2	6.115600e-3
2.312000e1	-5.982213e-2	6.134076e-3
2.316000e1	-5.590955e-2	5.350951e-3
2.320000e1	-5.589518e-2	5.364797e-3
2.324000e1	-5.066701e-2	4.469435e-3
2.328000e1	-4.452329e-2	4.383040e-3
2.332000e1	-3.709719e-2	3.486018e-3
2.336000e1	-2.919288e-2	2.592183e-3
2.340000e1	-2.042524e-2	1.716032e-3
2.344000e1	-2.042773e-2	1.700508e-3
2.348000e1	-1.161909e-2	8.476296e-4
2.352000e1	-2.427897e-3	-1.589693e-5
