	mass_A
t	x	y
2.076000e1	-2.116865e-2	1.250031e-3
2.080000e1	-2.814159e-2	2.128691e-3
2.084000e1	-3.444672e-2	1.392095e-3
2.088000e1	-4.010639e-2	2.955749e-3
2.092000e1	-4.544516e-2	3.145221e-3
2.096000e1	-4.983273e-2	3.926764e-3
2.100000e1	-5.300256e-2	4.033424e-3
2.104000e1	-5.331325e-2	3.936805e-3
2.108000e1	-5.377153e-2	3.951530e-3
2.112000e1	-5.372191e-2	3.925219e-3
2.116000e1	-5.203719e-2	3.904199e-3
2.120000e1	-4.979359e-2	3.139699e-3
2.124000e1	-4.648786e-2	3.549331e-3
2.128000e1	-4.184726e-2	2.707258e-3
2.132000e1	-3.652327e-2	1.850867e-3
2.136000e1	-3.056751e-2	1.717185e-3
2.140000e1	-2.391745e-2	8.711118e-4
2.144000e1	-1.697320e-2	8.325525e-4
2.148000e1	-9.956825e-3	2.091795e-5
2.152000e1	-2.768388e-3	-1.577580e-4
2.156000e1	4.176342e-3	-4.486222e-4
2.160000e1	1.075045e-2	-2.021853e-4
2.164000e1	1.671252e-2	-1.523027e-4
2.168000e1	2.213887e-2	-5.360027e-5
2.172000e1	2.698610e-2	-4.654776e-5
2.176000e1	3.053000e-2	8.390228e-4
2.180000e1	3.444860e-2	5.833043e-6
2.184000e1	3.621165e-2	-2.653203e-6
2.188000e1	3.795394e-2	1.229940e-5
2.192000e1	3.754754e-2	1.040105e-5
2.196000e1	3.659820e-2	-1.008361e-5
2.200000e1	3.403289e-2	-2.540270e-5
2.204000e1	3.055937e-2	-1.159625e-5
2.208000e1	2.658181e-2	-1.122417e-5
2.212000e1	2.176530e-2	-3.717881e-4
2.216000e1	1.633266e-2	-4.319273e-4
2.220000e1	1.040885e-2	-4.470557e-4
2.224000e1	4.066394e-3	-4.139811e-4
2.228000e1	-2.781334e-3	-3.676191e-4
2.232000e1	-9.449211e-3	3.860529e-4
2.236000e1	-1.646210e-2	4.120638e-4
2.240000e1	-2.297314e-2	4.354172e-4
2.244000e1	-2.934166e-2	1.194820e-3
2.248000e1	-3.493033e-2	2.152492e-3
2.252000e1	-3.931312e-2	3.038183e-3
2.256000e1	-4.324070e-2	3.048069e-3
2.260000e1	-4.599561e-2	3.063415e-3
2.264000e1	-4.933535e-2	3.537248e-3
2.268000e1	-5.021760e-2	3.550091e-3
2.272000e1	-5.024285e-2	3.553978e-3
2.276000e1	-4.941158e-2	3.536086e-3
2.280000e1	-4.802735e-2	3.116625e-3
2.284000e1	-4.505235e-2	3.048605e-3
2.288000e1	-4.155212e-2	2.632115e-3
2.292000e1	-3.736182e-2	1.840071e-3
2.296000e1	-3.219828e-2	1.710765e-3
2.300000e1	-2.644533e-2	9.025642e-4
2.304000e1	-2.001526e-2	8.546726e-4
2.308000e1	-1.341235e-2	7.572384e-4
2.312000e1	-6.782781e-3	-1.484889e-5
2.316000e1	-4.326436e-6	-2.348603e-4
2.320000e1	6.118893e-3	-8.585866e-4
2.324000e1	1.205806e-2	-8.000654e-4
2.328000e1	1.776150e-2	-8.333971e-4
2.332000e1	2.256757e-2	-8.474133e-4
